id,name,code,description,created_at,updated_at
1,SCh-PS,SCh-PS,,2025-11-25 02:51:25.096953+00,2025-11-25 05:06:22.761256+00
2,SCh-QA,SCh-QA,,2025-11-25 02:51:25.096953+00,2025-11-25 02:51:25.096953+00
3,SCh-Mfg,SCh-Mfg,,2025-11-25 02:51:25.096953+00,2025-11-25 02:51:25.096953+00
4,SNa-PS,SNa-PS,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
5,tbd,tbd,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
6,FLCNa,FLCNa,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
8,FEDNa,FEDNa,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
9,FCLCh,FCLCh,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
10,SCh,SCh,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
11,FDCCh,FDCCh,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
12,FLCCh,FLCCh,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
13,SCh-SC2,SCh-SC2,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
14,FCGNa,FCGNa,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
15,FCLCh-MEA,FCLCh-MEA,,2025-11-25 04:26:19.618942+00,2025-11-25 05:06:22.761256+00
