id,code,name,color_hex,description,is_active,created_at,updated_at
1,WS,Workshop,#3B82F6,研讨会/工作坊 - 蓝色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
2,SW,Speed Week,#8B5CF6,快速周改善活动 - 紫色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
3,P,Project,#10B981,项目实施 - 绿色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
4,T,Training,#F59E0B,培训课程 - 橙色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
5,C,Coaching,#EF4444,辅导指导 - 红色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
6,M,Meeting,#6366F1,会议 - 靛蓝色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
7,L,Leave,#64748B,休假 - 灰色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
8,SD,Self-Develop,#14B8A6,自我发展 - 青色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
9,A,Assessment,#EC4899,评估审核 - 粉色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
10,S,Support,#06B6D4,现场支持 - 天蓝色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
11,O,Others,#9CA3AF,其他 - 浅灰色,true,2025-11-26 04:28:07.853557+00,2025-11-26 04:28:07.853557+00
