id,module_id,module_name,skill_name,skill_code,description,display_order,is_active,created_at,updated_at
1,1,TPM基础,设备管理,,,1,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
2,1,TPM基础,预防维护,,,2,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
3,1,TPM基础,自主维护,,,3,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
4,2,精益流程,VSM分析,,,4,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
5,2,精益流程,SMED,,,5,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
6,2,精益流程,价值流优化,,,6,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
7,3,问题解决,8D方法,,,7,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
8,3,问题解决,Why-Why分析,,,8,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
9,3,问题解决,根因分析,,,9,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
10,4,项目管理,项目计划,,,10,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
11,4,项目管理,进度管理,,,11,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
12,4,项目管理,风险管理,,,12,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
13,5,数据分析,统计分析,,,13,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
14,5,数据分析,Excel高级应用,,,14,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
15,5,数据分析,数据可视化,,,15,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
16,6,团队领导,团队建设,,,16,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
17,6,团队领导,沟通协调,,,17,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
18,6,团队领导,冲突管理,,,18,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
19,7,质量管理,SPC,,,19,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
20,7,质量管理,FMEA,,,20,true,2025-11-25 02:38:01.116762+00,2025-11-25 02:38:01.116762+00
